Id,Content,Sentiment
49640624,The end.,Negative
43505275,GOD OVER EVERYTHING.,Negative
43505275,I'm sorry.,Negative
43505275,God... please forgive me.,Negative
43505275,This day couldn't get any worse...,Negative
43505275,I'm about to delete my twitter in a second,Negative
9.19E+17,RT @BlvckGrip: depression: i want to die,Negative
9.19E+17,RT @Pouyalilpou: I want to fucking die sometimes,Negative
9.19E+17,"@EliseLaurenne When I die, I want this face to be the last thing I see.",Negative
9.19E+17,RT @memetribute: when people ask why your twitter is full of tweets of you just saying 'i want to die' repeatedly https://t.co/qQkNCxQ7Qx,Negative
9.19E+17,@CETS_ I've been struggling through depression for about a year now and my mom died to stage four brain cancer and it's been hard.,Negative
4.28E+17,My family would probably be better off without me.,Negative
4.28E+17,My family would be better off without me,Negative
4.29E+17,"Im starting to think that my family would be better off, ultimately, without me. #fuckup #moreharmthangood",Negative
4.29E+17,https://t.co/GyaVLAGjGS THIS jaggoff performs exorcisms over Skype. The power of Christ compels you! @joerogan @duncantrussell @DBolelli,Negative
4.29E+17,If I ever have to write a lesson plan in a group again I'm gonna kill myself,Negative
4.29E+17,@S_LYNGSTAD wow! What a jaggoff. Drink some more budlight and get a grip! Leave parents out before I talk about YO MAMA!,Negative
4.29E+17,"@Jb_reaper @TmarTn ALSO, judging from his jumping and prone techniques, looks like if the IED is at a certain height, jump or prone, you die",Negative
4.29E+17,My family would be better off without me..,Negative
4.30E+17,RT @RonnieRadke: Indirect tweets are cowardly. this tweet is direct to all the indirect. Indirectly. Courageously :),Negative
4.30E+17,RT @RonnieRadke: Indirect tweets are cowardly. this tweet is direct to all the indirect. Indirectly. Courageously :),Negative
4.30E+17,RT @gokaxmomurda408: Sometimes ifeel like my family would be better off without me.,Negative
4.30E+17,@maliksidiot: Indirect to 95% of my school who think depression and suicide is a joke http://t.co/7v50zgfrOu,Negative
4.30E+17,indirect suicide?,Negative
4.30E+17,I have a specific plan to kill myself.,Negative
4.30E+17,Seems as if my family would be better off(and much happier) without me :,Negative
4.30E+17,RT @AndreiTheWizard: Seems as if my family would be better off(and much happier) without me :,Negative
4.30E+17,My family would be better off without me anyway,Negative
4.30E+17,"RT @catpennies: #patriarchyis a fear of fatness, an idealization of whiteness, a quashing of sexuality, and a colonization of agency.",Negative
4.30E+17,"RT @catpennies: #patriarchyis a fear of fatness, an idealization of whiteness, a quashing of sexuality, and a colonization of agency.",Negative
4.31E+17,No. I do not plan to kill myself. I have a planet to secularize. No time to die: Daniel Vragsinn,Positive
4.31E+17,Shamefaced,Negative
4.31E+17,"Right after I interview a woman working to end sexual harassment on Metro and transit systems, I get harassed on Metro. Sounds about right.",Negative
4.31E+17,"Video: Witnesses from Home Depot: Nagin sent threatening, intimidating emails http://t.co/iZY0DeItB4",Negative
4.31E+17,threatening emails from Yelp are the best.,Negative
4.31E+17,"According to @MikeMiss975, Internet troll has been harassing and threatening me and my family for the last 4 years http://t.co/jdmazSlwjv",Negative
4.31E+17,Believed to be same guy who sent threatening emails to Roger Williams law school earlier today.,Negative
4.31E+17,"everyone around me, my friends, my family, would be so much better off without me",Negative
4.31E+17,@GoOnAshlee So have I so I have a plan to turn 18 and kill myself...,Negative
4.31E+17,@annambostick: My family would probably be better off without me ?? don't say that ????!,Negative
4.31E+17,Reproachful b*tch,Negative
4.31E+17,You'll be sorry when I'm gone.,Negative
4.31E+17,"My friends go first... Point blank. My family would be better off without me, so yeah. Friends come first",Negative
4.31E+17,Heavy hearted. Very heavy hearted.,Negative
4.31E+17,"i'm too depressed to go on, you'll be sorry when i'm gone.",Negative
4.31E+17,You'll be sorry when i'm gone..,Negative
4.31E+17,you'll be sorry when I'm gone,Negative
4.31E+17,What is something you have always wanted to try?  Hm..cutting wrist? Not eating till I get super thin? Jk!!! Ha... http://t.co/0sPVUGmr9O,Negative
4.31E+17,Had one of those fretful nights. Hoping today goes well. Sword of Damocles is hanging above me for some reason.,Negative
4.31E+17,RT @JillianChantal: Had one of those fretful nights. Hoping today goes well. Sword of Damocles is hanging above me for some reason.,Negative
4.31E+17,Heavy hearted.,Negative
4.31E+17,RT @sydneynikol: Shoutout to @JesseBenton for almost cutting my wrist off and @JoshDudley_8 for almost catching my whole arm on fire ??,Negative
4.31E+17,"Hey guys, I'm back home. Today is kind of cheerless. I just want to go to bed and sleep. D:",Negative
4.31E+17,You'll be sorry when I'm gone.,Negative
4.31E+17,Ehret tripping now they be cutting they wrist and shit hanging they self they on that dope here,Negative
4.31E+17,@doctaj I've given up today  and am just composing this kind of text: http://t.co/LmPddeRGb5,Negative
4.31E+17,So heavy hearted today..#ripmom #ripryan ??????,Negative
4.31E+17,Do you often get the feeling that perhaps life isn't worth living?,Negative
4.31E+17,"Feel like just ending it all, my life isn't worth living without you in it.",Negative
4.31E+17,"noreen, suicidal lang? cutting your wrist.. hahaha x)",Negative
4.31E+17,"i bet i wud be cutting my wrist now if i were a girl but hey , turn to Allahswt , its just a test from Him haidar ..",Negative
4.31E+17,RT @McKennaLamos: This weather makes me wish I were dead.,Negative
4.31E+17,I'm too depressed to go on you'll be sorry when I'm gone,Negative
4.31E+17,"I'm too depressed to go on, you'll be sorry when I'm gone. ??",Negative
4.31E+17,???????suicide attack????????????????????????????????????????????????????????????,Negative
4.31E+17,RT @tambund_: you'll be sorry when i'm gone RT @yofanavirgianne @ollenschaa: You're gonna miss me when I'm gone,Negative
4.31E+17,Heavy Hearted.,Negative
4.31E+17,Life really isn't worth living. ??,Negative
4.31E+17,You'll be sorry when I'm gone.,Negative
4.31E+17,"I'm too depressed, to go on, you'll be sorry when I'm gone",Negative
4.31E+17,I wish you were dead.,Negative
4.31E+17,"RT @TheBucktList: Before I die, I want to http://t.co/kMDZeqiBAJ",Negative
4.31E+17,"RT @yourbucketIist: ??? before i die, i want to http://t.co/93wDzdQ0ke",Negative
